Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50102322;D;D;D
50097977;D;D;D
50097829;D;D;D
50097283;D;D;D
50097279;D;D;D
50096043;D;D;D
50095148;C1;C1;D
50095147;C1;C1;C1
50094936;D;D;D
50094761;C2;C2;C2
50094130;C2;C2;D
50092902;C2;C2;C2
50091685;D;D;D
50089584;C1;B2;C1
50088601;C2;C2;D
50087097;C2;C2;D
50087085;D;C2;D
50083056;B2;B2;B2
50076756;C2;C1;C2
50075482;C1;C1;C1
50075199;C2;C1;C2
50072795;C2;C2;C2
50072256;C2;C1;D
50072192;D;D;D
50072191;D;D;D
50071297;D;D;D
50066682;D;D;D
50064536;C1;C1;D
50064533;D;D;D
50063677;B2;B2;C2
50062132;C2;C2;C2
50061714;C1;B2;C1
50057897;C2;C2;D
50056141;D;D;D
50054552;C2;C1;D
50054432;C2;C2;C2
50054430;C2;C2;C2
50053943;C2;C2;C2
50048833;D;D;D
50048240;D;D;D
50048239;C1;C1;C1
50048232;B2;B2;C1
50048231;D;D;D
50045969;C1;C1;B1
50043907;C1;C1;C1
50042440;D;D;D
50041620;D;D;D
50039675;B1;A;B1
50037961;D;D;D
50034358;D;C2;D
50032887;D;D;D
50032878;D;D;D
50029652;D;D;D
50025925;C2;D;D
50022624;C1;C1;C1
50018408;D;C2;C2
50016159;D;D;D
50014675;D;D;D
50012332;D;D;D
50012330;C2;C2;C2
50012321;D;D;D
50007546;D;C2;D
50007538;C2;C2;C2
50007535;D;D;D
50925873;D;D;D
50924257;D;D;D
50924214;D;D;D
50886452;D;D;D
50869167;D;D;D
50837745;D;D;D
50794906;D;D;D
50752375;D;D;D
50746545;D;D;D
50738399;D;D;D
50715291;D;D;D
50625802;D;D;D
50590448;D;D;D
50551388;D;D;D
50538942;D;D;D
50405764;D;D;D
50380508;D;D;D
50306839;D;D;D
50228390;D;D;D
50200461;D;D;D
50149059;D;D;D
50131540;D;D;D
50115205;D;D;D
50115203;D;D;D
50115202;C2;C2;D
50115201;D;D;D
50114374;D;D;D
50114370;D;D;D
50112830;D;D;D
50111388;D;D;D
50111386;D;C2;D
50105974;D;D;D
50105208;D;D;D
50105207;C2;C2;C2
50105201;D;D;D
50105200;D;D;D
50105199;D;D;D
50094442;D;D;D
50090253;D;D;D
50087889;D;D;D
50082093;C2;C1;C2
50081634;D;D;D
50081122;C2;C2;C2
50078262;C2;C1;D
50077430;D;D;D
50077099;D;D;D
50070112;D;C2;D
50050477;C1;C1;C1
50039810;C1;C1;C1
50037967;C2;B2;C2
50033712;D;D;D
50032165;C2;C2;C2
50029618;C2;C2;C2
50029588;D;C1;C2
50028812;C1;C1;C1
50028036;D;D;D
50027511;C2;C2;C2
50026196;C2;C1;C2
50025849;D;D;D
50025537;D;D;D
50023165;D;D;D
50010301;D;D;D
50009114;C2;C2;C2
50999273;D;D;D
50997181;D;D;D
50987100;D;D;D
50979396;D;D;D
50970453;D;D;D
50970011;D;D;D
50963899;D;D;D
50963732;D;D;D
50952722;D;D;D
50947605;D;D;D
50939629;D;D;D
50913131;D;D;D
50890379;D;D;D
50887793;D;D;D
50885987;D;D;D
50874926;D;D;D
50874551;D;D;D
50855379;D;D;D
50835858;D;D;D
50823582;D;D;D
50813048;D;D;D
50802720;D;D;D
50792644;D;D;D
50780573;D;D;D
50763024;D;D;D
50758314;D;D;D
50758039;D;D;D
50757245;D;D;D
50755358;D;D;D
50748335;D;D;D
50745077;D;D;D
50723200;D;D;D
50713884;D;D;D
50710222;D;D;D
50705962;D;D;D
50694847;D;D;D
50686267;D;D;D
50667386;D;D;D
50654268;D;D;D
50649647;D;D;D
50649205;D;D;D
50637533;D;D;D
50632922;D;D;D
50629778;D;D;D
50622749;D;D;D
50612867;D;D;D
50586262;D;D;D
50567322;D;D;D
50553771;D;D;D
50520768;D;D;D
50512498;D;D;D
50505017;D;D;D
50497146;D;D;D
50487345;D;D;D
50485644;D;D;D
50485423;D;D;D
50480316;D;D;D
50465198;D;D;D
50443658;D;D;D
50443429;D;D;D
50419757;D;D;D
50404032;D;D;D
50392069;D;D;D
50382381;D;D;D
50359673;D;D;D
50344455;D;D;D
50340549;D;D;D
50340492;D;D;D
50335758;D;D;D
50328867;D;D;D
50314920;D;D;D
50309048;D;D;D
50306898;D;D;D
50300385;D;D;D
50295381;D;D;D
50292633;D;D;D
50279645;D;D;D
50266918;D;D;D
50264761;D;D;D
50262130;D;D;D
50257471;D;D;D
50254111;D;D;D
50247123;D;D;D
50231340;D;D;D
50226835;D;D;D
50219774;D;D;D
50211900;D;D;D
50206966;D;D;D
50183273;D;D;D
50176439;D;D;D
50175882;D;D;D
50136194;D;D;D
50127829;D;D;D
50115266;D;D;D
50115263;D;D;D
50114562;D;D;D
50114561;D;D;D
50114558;D;D;D
50114556;D;D;D
50114555;D;D;D
50114551;D;D;D
50114546;C1;C1;C2
50114545;C1;C1;C2
50114541;D;D;D
50114540;D;D;D
50114539;D;D;D
50114536;D;D;D
50113328;D;D;D
50112876;D;D;D
50112875;D;D;D
50112874;D;D;D
50111714;D;D;D
50111710;D;D;D
50111709;D;D;D
50111703;D;D;D
50111702;D;D;D
50111063;D;D;D
50111060;D;D;D
50111059;D;D;D
50108908;D;D;D
50106729;B2;B2;C2
50106727;D;D;D
50106717;D;D;D
50105504;D;D;D
50105253;C2;C2;D
50105245;D;D;D
50105241;D;D;D
50105240;D;D;D
50105239;C2;C2;D
50104410;D;D;D
50103986;D;D;D
50103745;C2;C2;D
50103611;D;D;D
50103315;D;D;D
50103161;D;D;D
50103123;D;D;D
50101190;D;D;D
50101178;D;D;D
50100012;C2;C1;D
50099184;D;D;D
50098557;D;D;D
50098232;D;D;D
50096603;C2;C2;C2
50096482;D;D;D
50096480;D;D;D
50096479;D;D;D
50096477;D;D;D
50096147;D;D;D
50096145;D;D;D
50096144;D;D;D
50095655;B1;B1;B2
50092877;C1;B2;C1
50092661;D;D;D
50091754;B1;B1;C1
50091750;D;D;D
50091235;D;D;D
50091234;D;D;D
50091071;D;D;D
50090973;C2;C1;D
50090964;D;D;D
50087473;C2;C2;D
50087471;C1;C2;D
50086842;C1;C1;C1
50085853;D;D;D
50085603;D;D;D
50085372;D;D;D
50085371;D;D;D
50085370;D;D;D
50085368;D;D;D
50085367;D;D;D
50085366;D;D;D
50085365;D;D;D
50085364;D;D;D
50085363;D;D;D
50085357;D;D;D
50085353;D;D;D
50085347;D;D;D
50085317;B2;B2;B2
50081119;B2;B2;B2
50081117;D;D;D
50081116;D;D;D
50081113;D;D;D
50078727;C2;C2;C2
50078723;C2;C2;D
50078722;B2;B2;C1
50078721;D;D;D
50077631;D;D;D
50077431;C1;C1;D
50072474;B2;B2;B2
50072460;B1;B2;B2
50072456;D;D;D
50070610;C1;C1;C1
50067939;C1;C1;C1
50066612;D;C2;D
50065208;D;D;D
50063793;B2;B2;B2
50063455;B1;B2;B1
50063454;D;D;D
50063321;D;D;D
50062957;B2;B2;B2
50062205;D;D;D
50061757;D;D;D
50061756;D;D;D
50057838;D;D;D
50057837;D;D;D
50056599;D;D;D
50056595;C1;B1;C1
50056585;D;D;D
50054374;D;D;D
50053522;D;D;D
50051646;C1;C1;C1
50050733;D;C2;D
50050725;D;D;D
50050724;D;D;D
50050715;D;D;D
50048396;B2;B2;B2
50047793;B2;B1;B2
50047791;D;C1;D
50046191;D;D;D
50044522;D;D;D
50044521;D;D;D
50044511;D;D;D
50043129;D;D;D
50042592;D;D;D
50042589;D;D;D
50041762;D;D;D
50041306;D;D;D
50035695;C2;C2;C2
50035693;D;D;D
50035665;D;D;D
