Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
30056235;C1;C2;C1
30055756;D;D;D
30055498;D;D;D
30055494;D;D;D
30054593;D;D;D
30054588;D;D;D
30054120;D;D;D
30053861;D;D;D
30052333;D;D;D
30052319;D;D;D
30052316;D;D;D
30051651;D;D;D
30051142;D;D;D
30051140;D;D;D
30051139;D;D;D
30051134;D;D;D
30050851;C2;D;D
30047777;D;D;D
30047038;C1;C1;C1
30046309;D;D;D
30046166;D;D;D
30044429;C2;C2;D
30044355;D;D;D
30044304;D;D;D
30044094;C1;C1;C1
30043583;B2;C1;C1
30042445;D;D;D
30040539;D;D;D
30039967;B2;B2;B2
30039013;D;D;D
30038747;C2;C2;C2
30037897;C2;C2;D
30037773;D;D;D
30037457;D;C2;D
30035380;D;D;D
30035377;D;D;D
30035261;D;D;D
30035155;D;D;D
30034272;D;D;D
30034209;C2;C2;C2
30033985;D;D;D
30033932;C2;C2;D
30033655;D;D;D
30032096;D;C2;D
30031542;B2;B2;B2
30029204;B1;B1;B1
30028836;A;A;B1
30027181;B2;B2;B2
30026831;B2;B2;B2
30023429;C1;C1;B2
30023384;D;D;D
30018075;D;D;D
30009944;D;D;D
30009622;D;D;D
30009574;D;D;D
30008256;D;D;D
30008166;D;D;D
30007691;D;D;D
30004764;D;D;D
30004566;D;D;D
30001222;D;D;D
30000756;D;D;D
30000394;D;D;D
30000043;D;D;D
30099304;D;D;D
30054478;D;D;D
30052126;C1;C2;C1
30035746;D;D;D
30034161;C1;B2;C1
30033492;C1;B2;C1
30029290;B2;B2;B1
30015566;D;D;D
30015565;B2;B2;B2
30010487;C1;C1;C1
30001906;C2;C2;C2
30098931;D;D;D
30098441;D;D;D
30098151;D;D;D
30096248;D;D;D
30095876;D;D;D
30095156;D;D;D
30094911;D;D;D
30093315;D;D;D
30093285;D;D;D
30092392;D;D;D
30092383;D;D;D
30091895;D;D;D
30091554;D;D;D
30091194;D;D;D
30089473;D;D;D
30089432;D;D;D
30088097;D;D;D
30088011;D;D;D
30087928;D;D;D
30087404;B2;B2;C1
30087134;D;D;D
30087047;D;D;D
30086659;D;D;D
30086607;D;D;D
30086195;D;D;D
30084914;D;D;D
30084912;D;D;D
30084161;D;D;D
30083881;D;D;D
30083015;D;D;D
30082473;D;D;D
30080587;D;D;D
30080584;D;D;D
30080374;D;D;D
30079693;D;D;D
30079419;D;D;D
30079285;D;D;D
30078288;D;D;D
30078181;C2;C2;D
30077662;D;D;D
30077502;D;D;D
30076135;D;D;D
30074508;D;D;D
30074477;D;D;D
30074221;D;D;D
30073597;D;D;D
30073262;D;D;D
30072735;D;D;D
30072501;D;D;D
30072011;D;D;D
30069644;D;D;D
30069637;D;D;D
30069516;D;D;D
30069065;D;D;D
30068911;D;D;D
30067845;D;D;D
30067184;D;D;D
30066246;D;D;D
30065700;D;D;D
30064774;D;D;D
30064506;D;D;D
30064099;D;D;D
30063962;D;D;D
30063927;D;D;D
30063766;D;D;D
30063740;D;D;D
30063179;D;D;D
30062596;C2;C2;D
30062463;D;D;D
30061162;D;D;D
30061004;D;D;D
30060673;D;D;D
30060565;D;D;D
30060355;D;D;D
30060354;D;D;D
30060161;D;D;D
30059812;D;D;D
30059381;D;D;D
30058803;D;D;D
30058802;D;D;D
30057746;D;D;D
30057620;C2;C2;D
30057590;D;D;D
30057515;D;D;C2
30057425;D;D;D
30057191;D;D;D
30057190;C2;C1;D
30057189;D;D;D
30057188;D;D;D
30057187;D;D;D
30056915;D;D;D
30056913;C2;C2;D
30056912;C1;C1;D
30056908;D;D;D
30056907;C2;C2;D
30056906;D;D;D
30056905;D;D;D
30056904;D;D;D
30056903;D;C2;D
30056361;D;D;D
30056359;D;D;D
30056358;D;D;D
30055425;C2;C2;D
30054311;D;C2;C1
30054288;D;D;D
30053965;D;D;D
30053219;C2;C2;C2
30052611;C2;C2;C2
